Row Labels,Average of mean_test_score
logistic,
"(15, 15)",
0.00001,0.548901099
3.16228E-05,0.548901099
0.0001,0.548901099
0.000316228,0.548901099
0.001,0.548901099
0.003162278,0.548901099
0.01,0.546703297
0.031622777,0.548901099
0.1,0.557692308
0.316227766,0.547252747
1,0.538461538
3.16227766,0.495054945
10,0.5
"(15, 15) Total",0.54057481
"(15, 15, 15)",
0.00001,0.5
3.16228E-05,0.5
0.0001,0.5
0.000316228,0.5
0.001,0.5
0.003162278,0.5
0.01,0.5
0.031622777,0.5
0.1,0.5
0.316227766,0.5
1,0.5
3.16227766,0.5
10,0.5
"(15, 15, 15) Total",0.5
"(15,)",
0.00001,0.568681319
3.16228E-05,0.568681319
0.0001,0.568681319
0.000316228,0.568681319
0.001,0.568681319
0.003162278,0.568681319
0.01,0.568681319
0.031622777,0.568681319
0.1,0.566483516
0.316227766,0.576923077
1,0.574175824
3.16227766,0.571978022
10,0.532417582
"(15,) Total",0.567032967
"(31, 31)",
0.00001,0.597802198
3.16228E-05,0.597802198
0.0001,0.597802198
0.000316228,0.597802198
0.001,0.597802198
0.003162278,0.597802198
0.01,0.597802198
0.031622777,0.597252747
0.1,0.585164835
0.316227766,0.555494505
1,0.558791209
3.16227766,0.540659341
10,0.524175824
"(31, 31) Total",0.580473373
"(31, 31, 31)",
0.00001,0.520879121
3.16228E-05,0.520879121
0.0001,0.520879121
0.000316228,0.520879121
0.001,0.520879121
0.003162278,0.521428571
0.01,0.520879121
0.031622777,0.520879121
0.1,0.517582418
0.316227766,0.499450549
1,0.517582418
3.16227766,0.508791209
10,0.5
"(31, 31, 31) Total",0.516229924
"(31,)",
0.00001,0.5
3.16228E-05,0.5
0.0001,0.5
0.000316228,0.5
0.001,0.5
0.003162278,0.5
0.01,0.5
0.031622777,0.5
0.1,0.5
0.316227766,0.5
1,0.5
3.16227766,0.5
10,0.5
"(31,) Total",0.5
"(62, 62)",
0.00001,0.602197802
3.16228E-05,0.602197802
0.0001,0.602197802
0.000316228,0.602197802
0.001,0.602197802
0.003162278,0.603296703
0.01,0.602197802
0.031622777,0.600549451
0.1,0.604395604
0.316227766,0.603846154
1,0.597802198
3.16227766,0.544505495
10,0.502747253
"(62, 62) Total",0.590025359
"(62, 62, 62)",
0.00001,0.587912088
3.16228E-05,0.587912088
0.0001,0.587912088
0.000316228,0.586813187
0.001,0.586263736
0.003162278,0.585164835
0.01,0.585164835
0.031622777,0.579120879
0.1,0.567582418
0.316227766,0.5
1,0.5
3.16227766,0.5
10,0.5
"(62, 62, 62) Total",0.557988166
"(62,)",
0.00001,0.596703297
3.16228E-05,0.596703297
0.0001,0.596703297
0.000316228,0.596703297
0.001,0.596703297
0.003162278,0.596703297
0.01,0.596703297
0.031622777,0.596703297
0.1,0.599450549
0.316227766,0.598901099
1,0.586263736
3.16227766,0.58956044
10,0.576923077
"(62,) Total",0.594209637
logistic Total,0.549614915
relu,
"(15, 15)",
0.00001,0.565384615
3.16228E-05,0.565384615
0.0001,0.565384615
0.000316228,0.565384615
0.001,0.565384615
0.003162278,0.563736264
0.01,0.568681319
0.031622777,0.577472527
0.1,0.563736264
0.316227766,0.578571429
1,0.548351648
3.16227766,0.547802198
10,0.547252747
"(15, 15) Total",0.563271344
"(15, 15, 15)",
0.00001,0.546703297
3.16228E-05,0.546703297
0.0001,0.546703297
0.000316228,0.546703297
0.001,0.546153846
0.003162278,0.546153846
0.01,0.546703297
0.031622777,0.546153846
0.1,0.545604396
0.316227766,0.543406593
1,0.558791209
3.16227766,0.551648352
10,0.546703297
"(15, 15, 15) Total",0.547548605
"(15,)",
0.00001,0.579120879
3.16228E-05,0.579120879
0.0001,0.579120879
0.000316228,0.579120879
0.001,0.579120879
0.003162278,0.57967033
0.01,0.579120879
0.031622777,0.57967033
0.1,0.561538462
0.316227766,0.568131868
1,0.563186813
3.16227766,0.574175824
10,0.574725275
"(15,) Total",0.575063398
"(31, 31)",
0.00001,0.631868132
3.16228E-05,0.623626374
0.0001,0.623626374
0.000316228,0.623626374
0.001,0.623076923
0.003162278,0.623626374
0.01,0.623076923
0.031622777,0.623626374
0.1,0.627472527
0.316227766,0.634065934
1,0.643406593
3.16227766,0.621978022
10,0.603296703
"(31, 31) Total",0.625105664
"(31, 31, 31)",
0.00001,0.628571429
3.16228E-05,0.628021978
0.0001,0.637362637
0.000316228,0.627472527
0.001,0.628021978
0.003162278,0.628571429
0.01,0.628571429
0.031622777,0.612087912
0.1,0.617032967
0.316227766,0.618681319
1,0.61978022
3.16227766,0.60989011
10,0.581318681
"(31, 31, 31) Total",0.620414201
"(31,)",
0.00001,0.597252747
3.16228E-05,0.597252747
0.0001,0.597252747
0.000316228,0.597252747
0.001,0.596703297
0.003162278,0.597802198
0.01,0.598351648
0.031622777,0.597802198
0.1,0.597802198
0.316227766,0.576373626
1,0.565384615
3.16227766,0.577472527
10,0.537362637
"(31,) Total",0.587235841
"(62, 62)",
0.00001,0.7
3.16228E-05,0.7
0.0001,0.698901099
0.000316228,0.699450549
0.001,0.698901099
0.003162278,0.698901099
0.01,0.699450549
0.031622777,0.701098901
0.1,0.701098901
0.316227766,0.697802198
1,0.705494505
3.16227766,0.687362637
10,0.64010989
"(62, 62) Total",0.694505495
"(62, 62, 62)",
0.00001,0.693956044
3.16228E-05,0.694505495
0.0001,0.707692308
0.000316228,0.704945055
0.001,0.696153846
0.003162278,0.697252747
0.01,0.698901099
0.031622777,0.7
0.1,0.694505495
0.316227766,0.698351648
1,0.706043956
3.16227766,0.66043956
10,0.59010989
"(62, 62, 62) Total",0.687912088
"(62,)",
0.00001,0.630769231
3.16228E-05,0.630769231
0.0001,0.630769231
0.000316228,0.630769231
0.001,0.630769231
0.003162278,0.630769231
0.01,0.631868132
0.031622777,0.630769231
0.1,0.635714286
0.316227766,0.635714286
1,0.631318681
3.16227766,0.629120879
10,0.593956044
"(62,) Total",0.628698225
relu Total,0.614417207
Grand Total,0.582016061
