Row Labels,Average of mean_test_score
-1,
1,0.927236324
2,0.927236324
5,0.927236324
10,0.927236324
20,0.927236324
30,0.927236324
45,0.927236324
60,0.927236324
80,0.927236324
100,0.927236324
-1 Total,0.927236324
-0.1,
1,0.927236324
2,0.927236324
5,0.927236324
10,0.927236324
20,0.927236324
30,0.927236324
45,0.927236324
60,0.927236324
80,0.927236324
100,0.927236324
-0.1 Total,0.927236324
-0.031622777,
1,0.927236324
2,0.927236324
5,0.927236324
10,0.927236324
20,0.927236324
30,0.927236324
45,0.927236324
60,0.927236324
80,0.927236324
100,0.927236324
-0.0316227766016838 Total,0.927236324
-0.01,
1,0.927236324
2,0.927236324
5,0.927236324
10,0.927236324
20,0.927236324
30,0.927236324
45,0.927236324
60,0.927236324
80,0.927236324
100,0.927236324
-0.01 Total,0.927236324
-0.003162278,
1,0.938791802
2,0.938791802
5,0.938791802
10,0.938791802
20,0.938791802
30,0.938791802
45,0.938791802
60,0.938791802
80,0.938791802
100,0.938791802
-0.00316227766016837 Total,0.938791802
-0.001,
1,0.938791802
2,0.938791802
5,0.938791802
10,0.938791802
20,0.938791802
30,0.938791802
45,0.938791802
60,0.938791802
80,0.938791802
100,0.938791802
-0.001 Total,0.938791802
-0.000316228,
1,0.938791802
2,0.938791802
5,0.938791802
10,0.938791802
20,0.938791802
30,0.938791802
45,0.938791802
60,0.938791802
80,0.938791802
100,0.938791802
-0.000316227766016837 Total,0.938791802
0,
1,0.954025014
2,0.941108273
5,0.947761123
10,0.947761123
20,0.947761123
30,0.947761123
45,0.947761123
60,0.947761123
80,0.947761123
100,0.947761123
0 Total,0.947722227
0.000316228,
1,0.954025014
2,0.941108273
5,0.947761123
10,0.947761123
20,0.947761123
30,0.947761123
45,0.947761123
60,0.947761123
80,0.947761123
100,0.947761123
0.000316227766016837 Total,0.947722227
0.001,
1,0.954025014
2,0.941108273
5,0.947761123
10,0.947761123
20,0.947761123
30,0.947761123
45,0.947761123
60,0.947761123
80,0.947761123
100,0.947761123
0.001 Total,0.947722227
0.003162278,
1,0.954025014
2,0.941108273
5,0.947761123
10,0.947761123
20,0.947761123
30,0.947761123
45,0.947761123
60,0.947761123
80,0.947761123
100,0.947761123
0.00316227766016837 Total,0.947722227
0.01,
1,0.932675478
2,0.932675478
5,0.958196379
10,0.958098427
20,0.958493231
30,0.958493231
45,0.958493231
60,0.958493231
80,0.958493231
100,0.958493231
0.01 Total,0.953260515
0.031622777,
1,0.810933019
2,0.802520878
5,0.89271679
10,0.938103251
20,0.964239611
30,0.965480306
45,0.965480306
60,0.965480306
80,0.965480306
100,0.965480306
0.0316227766016838 Total,0.923591508
0.1,
1,0.333333333
2,0.333333333
5,0.6832772
10,0.833906806
20,0.873912448
30,0.889517488
45,0.897725247
60,0.897725247
80,0.897725247
100,0.897725247
0.1 Total,0.753818159
Grand Total,0.924777128
