param_SVM__n_iter,test acc,train acc
1,0.6358974358974359,0.7329670329670329
2,0.7333333333333333,0.8950549450549451
4,0.7961538461538461,0.954945054945055
8,0.8,0.9774725274725274
16,0.8474358974358974,0.9857142857142858
32,0.8371794871794872,0.987912087912088
64,0.8294871794871795,0.9873626373626374
128,0.8346153846153846,0.989010989010989
256,0.8358974358974359,0.9895604395604396
512,0.841025641025641,0.9901098901098901
1024,0.8371794871794872,0.9901098901098901
2048,0.841025641025641,0.9901098901098901
