Row Labels,Average of mean_test_score
chebyshev,
distance,
1,0.570879121
4,0.622527473
7,0.614285714
10,0.609340659
13,0.622527473
16,0.624725275
19,0.617582418
22,0.606043956
25,0.602747253
28,0.618131868
31,0.584615385
34,0.607692308
37,0.618131868
40,0.613186813
43,0.62967033
46,0.631868132
49,0.601098901
distance Total,0.61147382
uniform,
1,0.570879121
4,0.603296703
7,0.613186813
10,0.602747253
13,0.613186813
16,0.608791209
19,0.59010989
22,0.624175824
25,0.598351648
28,0.590659341
31,0.609340659
34,0.615384615
37,0.606593407
40,0.626923077
43,0.617582418
46,0.614285714
49,0.607142857
uniform Total,0.606625727
chebyshev Total,0.609049774
euclidean,
distance,
1,0.74010989
4,0.771978022
7,0.781868132
10,0.776923077
13,0.78956044
16,0.809340659
19,0.787912088
22,0.792857143
25,0.782967033
28,0.782417582
31,0.781868132
34,0.784615385
37,0.775274725
40,0.76978022
43,0.774175824
46,0.773076923
49,0.780769231
distance Total,0.779734971
uniform,
1,0.727472527
4,0.748901099
7,0.803846154
10,0.793956044
13,0.765934066
16,0.794505495
19,0.768681319
22,0.773626374
25,0.790659341
28,0.772527473
31,0.768131868
34,0.753846154
37,0.775274725
40,0.778021978
43,0.764835165
46,0.768681319
49,0.752197802
uniform Total,0.770652877
euclidean Total,0.775193924
manhattan,
distance,
1,0.821978022
4,0.828021978
7,0.845604396
10,0.857692308
13,0.845054945
16,0.852197802
19,0.831868132
22,0.834615385
25,0.82967033
28,0.836263736
31,0.818131868
34,0.817032967
37,0.82967033
40,0.820879121
43,0.809340659
46,0.813736264
49,0.798351648
distance Total,0.828829994
uniform,
1,0.806043956
4,0.82032967
7,0.829120879
10,0.828571429
13,0.829120879
16,0.828571429
19,0.830769231
22,0.806593407
25,0.829120879
28,0.812087912
31,0.809340659
34,0.822527473
37,0.814285714
40,0.798901099
43,0.804945055
46,0.788461538
49,0.800549451
uniform Total,0.815255333
manhattan Total,0.822042663
Grand Total,0.735428787
