Row Labels,Average of mean_test_score
0.000000001,
687,0.564285714
0.000000001 Total,0.564285714
3.16228E-09,
687,0.563736264
3.16227766016837E-09 Total,0.563736264
0.00000001,
687,0.573076923
0.00000001 Total,0.573076923
3.16228E-08,
687,0.569230769
3.16227766016837E-08 Total,0.569230769
0.0000001,
687,0.570879121
0.0000001 Total,0.570879121
3.16228E-07,
687,0.578021978
3.16227766016837E-07 Total,0.578021978
0.000001,
687,0.568131868
0.000001 Total,0.568131868
3.16228E-06,
687,0.563736264
3.16227766016837E-06 Total,0.563736264
0.00001,
687,0.589010989
0.00001 Total,0.589010989
3.16228E-05,
687,0.605494505
0.0000316227766016837 Total,0.605494505
0.0001,
687,0.585164835
0.0001 Total,0.585164835
0.000316228,
687,0.594505495
0.000316227766016837 Total,0.594505495
0.001,
687,0.607692308
0.001 Total,0.607692308
0.003162278,
687,0.615384615
0.00316227766016837 Total,0.615384615
0.01,
687,0.616483516
0.01 Total,0.616483516
0.031622777,
687,0.618681319
0.0316227766016837 Total,0.618681319
0.1,
687,0.62032967
0.1 Total,0.62032967
Grand Total,0.588461538
