Row Labels,Average of mean_test_score
0.000000001,
1034,0.881122439
0.000000001 Total,0.881122439
3.16228E-09,
1034,0.884317691
3.16227766016837E-09 Total,0.884317691
0.00000001,
1034,0.874462995
0.00000001 Total,0.874462995
3.16228E-08,
1034,0.874202704
3.16227766016837E-08 Total,0.874202704
0.0000001,
1034,0.875419266
0.0000001 Total,0.875419266
3.16228E-07,
1034,0.899921001
3.16227766016837E-07 Total,0.899921001
0.000001,
1034,0.88964406
0.000001 Total,0.88964406
3.16228E-06,
1034,0.900104945
3.16227766016837E-06 Total,0.900104945
0.00001,
1034,0.91101643
0.00001 Total,0.91101643
3.16228E-05,
1034,0.9155923
0.0000316227766016837 Total,0.9155923
0.0001,
1034,0.923628593
0.0001 Total,0.923628593
0.000316228,
1034,0.913525893
0.000316227766016837 Total,0.913525893
0.001,
1034,0.871443229
0.001 Total,0.871443229
0.003162278,
1034,0.806016643
0.00316227766016837 Total,0.806016643
0.01,
1034,0.798717784
0.01 Total,0.798717784
0.031622777,
1034,0.774216456
0.0316227766016837 Total,0.774216456
0.1,
1034,0.729715762
0.1 Total,0.729715762
Grand Total,0.866062835
