Row Labels,Average of mean_test_score
0.000000001,
0.2,
1034,0.919002778
0.2 Total,0.919002778
0.4,
1034,0.948949682
0.4 Total,0.948949682
0.6,
1034,0.944176631
0.6 Total,0.944176631
0.8,
1034,0.910936521
0.8 Total,0.910936521
1,
1034,0.912444078
1 Total,0.912444078
1.2,
1034,0.930496833
1.2 Total,0.930496833
1.4,
1034,0.926587686
1.4 Total,0.926587686
1.6,
1034,0.949729165
1.6 Total,0.949729165
1.8,
1034,0.935594287
1.8 Total,0.935594287
2,
1034,0.899420413
2 Total,0.899420413
0.000000001 Total,0.927733807
3.16228E-09,
0.2,
1034,0.913188198
0.2 Total,0.913188198
0.4,
1034,0.94649312
0.4 Total,0.94649312
0.6,
1034,0.927885543
0.6 Total,0.927885543
0.8,
1034,0.919987121
0.8 Total,0.919987121
1,
1034,0.932245043
1 Total,0.932245043
1.2,
1034,0.945051096
1.2 Total,0.945051096
1.4,
1034,0.950558577
1.4 Total,0.950558577
1.6,
1034,0.905384369
1.6 Total,0.905384369
1.8,
1034,0.896724225
1.8 Total,0.896724225
2,
1034,0.915870113
2 Total,0.915870113
3.16227766016837E-09 Total,0.92533874
0.00000001,
0.2,
1034,0.924187515
0.2 Total,0.924187515
0.4,
1034,0.947985206
0.4 Total,0.947985206
0.6,
1034,0.935819692
0.6 Total,0.935819692
0.8,
1034,0.949765074
0.8 Total,0.949765074
1,
1034,0.924807954
1 Total,0.924807954
1.2,
1034,0.927705431
1.2 Total,0.927705431
1.4,
1034,0.939178393
1.4 Total,0.939178393
1.6,
1034,0.953994509
1.6 Total,0.953994509
1.8,
1034,0.920516224
1.8 Total,0.920516224
2,
1034,0.884243764
2 Total,0.884243764
0.00000001 Total,0.930820376
3.16228E-08,
0.2,
1034,0.911905073
0.2 Total,0.911905073
0.4,
1034,0.944615969
0.4 Total,0.944615969
0.6,
1034,0.945153762
0.6 Total,0.945153762
0.8,
1034,0.934386636
0.8 Total,0.934386636
1,
1034,0.929943828
1 Total,0.929943828
1.2,
1034,0.9387223
1.2 Total,0.9387223
1.4,
1034,0.930085233
1.4 Total,0.930085233
1.6,
1034,0.954346255
1.6 Total,0.954346255
1.8,
1034,0.940053496
1.8 Total,0.940053496
2,
1034,0.917789654
2 Total,0.917789654
3.16227766016837E-08 Total,0.934700221
0.0000001,
0.2,
1034,0.912878745
0.2 Total,0.912878745
0.4,
1034,0.951467643
0.4 Total,0.951467643
0.6,
1034,0.951733539
0.6 Total,0.951733539
0.8,
1034,0.943327447
0.8 Total,0.943327447
1,
1034,0.916558791
1 Total,0.916558791
1.2,
1034,0.932371468
1.2 Total,0.932371468
1.4,
1034,0.946106516
1.4 Total,0.946106516
1.6,
1034,0.920850957
1.6 Total,0.920850957
1.8,
1034,0.933556971
1.8 Total,0.933556971
2,
1034,0.898842334
2 Total,0.898842334
0.0000001 Total,0.930769441
3.16228E-07,
0.2,
1034,0.886871171
0.2 Total,0.886871171
0.4,
1034,0.940917571
0.4 Total,0.940917571
0.6,
1034,0.949427526
0.6 Total,0.949427526
0.8,
1034,0.950972402
0.8 Total,0.950972402
1,
1034,0.916786842
1 Total,0.916786842
1.2,
1034,0.945116627
1.2 Total,0.945116627
1.4,
1034,0.948637137
1.4 Total,0.948637137
1.6,
1034,0.945943603
1.6 Total,0.945943603
1.8,
1034,0.928887046
1.8 Total,0.928887046
2,
1034,0.88767679
2 Total,0.88767679
3.16227766016837E-07 Total,0.930123671
0.000001,
0.2,
1034,0.892876182
0.2 Total,0.892876182
0.4,
1034,0.950106599
0.4 Total,0.950106599
0.6,
1034,0.936218844
0.6 Total,0.936218844
0.8,
1034,0.95783649
0.8 Total,0.95783649
1,
1034,0.914480522
1 Total,0.914480522
1.2,
1034,0.947191757
1.2 Total,0.947191757
1.4,
1034,0.937596904
1.4 Total,0.937596904
1.6,
1034,0.898527946
1.6 Total,0.898527946
1.8,
1034,0.91441446
1.8 Total,0.91441446
2,
1034,0.917660681
2 Total,0.917660681
0.000001 Total,0.926691039
3.16228E-06,
0.2,
1034,0.906811584
0.2 Total,0.906811584
0.4,
1034,0.93936703
0.4 Total,0.93936703
0.6,
1034,0.941550963
0.6 Total,0.941550963
0.8,
1034,0.950446771
0.8 Total,0.950446771
1,
1034,0.928448158
1 Total,0.928448158
1.2,
1034,0.929939321
1.2 Total,0.929939321
1.4,
1034,0.929728418
1.4 Total,0.929728418
1.6,
1034,0.889020503
1.6 Total,0.889020503
1.8,
1034,0.923660117
1.8 Total,0.923660117
2,
1034,0.918924936
2 Total,0.918924936
3.16227766016837E-06 Total,0.92578978
0.00001,
0.2,
1034,0.924172245
0.2 Total,0.924172245
0.4,
1034,0.935935191
0.4 Total,0.935935191
0.6,
1034,0.954735144
0.6 Total,0.954735144
0.8,
1034,0.936995918
0.8 Total,0.936995918
1,
1034,0.916705936
1 Total,0.916705936
1.2,
1034,0.935857033
1.2 Total,0.935857033
1.4,
1034,0.931237217
1.4 Total,0.931237217
1.6,
1034,0.911829323
1.6 Total,0.911829323
1.8,
1034,0.922381678
1.8 Total,0.922381678
2,
1034,0.91922286
2 Total,0.91922286
0.00001 Total,0.928907255
3.16228E-05,
0.2,
1034,0.925198172
0.2 Total,0.925198172
0.4,
1034,0.938899398
0.4 Total,0.938899398
0.6,
1034,0.949793089
0.6 Total,0.949793089
0.8,
1034,0.964845657
0.8 Total,0.964845657
1,
1034,0.957750454
1 Total,0.957750454
1.2,
1034,0.959651625
1.2 Total,0.959651625
1.4,
1034,0.958158168
1.4 Total,0.958158168
1.6,
1034,0.902336443
1.6 Total,0.902336443
1.8,
1034,0.949478596
1.8 Total,0.949478596
2,
1034,0.892381585
2 Total,0.892381585
0.0000316227766016837 Total,0.939849319
0.0001,
0.2,
1034,0.936689241
0.2 Total,0.936689241
0.4,
1034,0.965530619
0.4 Total,0.965530619
0.6,
1034,0.967223778
0.6 Total,0.967223778
0.8,
1034,0.973718301
0.8 Total,0.973718301
1,
1034,0.963105463
1 Total,0.963105463
1.2,
1034,0.938707323
1.2 Total,0.938707323
1.4,
1034,0.937992011
1.4 Total,0.937992011
1.6,
1034,0.949738671
1.6 Total,0.949738671
1.8,
1034,0.923051712
1.8 Total,0.923051712
2,
1034,0.919970229
2 Total,0.919970229
0.0001 Total,0.947572735
0.000316228,
0.2,
1034,0.946409527
0.2 Total,0.946409527
0.4,
1034,0.959834859
0.4 Total,0.959834859
0.6,
1034,0.968015571
0.6 Total,0.968015571
0.8,
1034,0.967277843
0.8 Total,0.967277843
1,
1034,0.954784211
1 Total,0.954784211
1.2,
1034,0.934854015
1.2 Total,0.934854015
1.4,
1034,0.933669604
1.4 Total,0.933669604
1.6,
1034,0.919963055
1.6 Total,0.919963055
1.8,
1034,0.912991607
1.8 Total,0.912991607
2,
1034,0.886839798
2 Total,0.886839798
0.000316227766016837 Total,0.938464009
0.001,
0.2,
1034,0.955053705
0.2 Total,0.955053705
0.4,
1034,0.966888404
0.4 Total,0.966888404
0.6,
1034,0.963143122
0.6 Total,0.963143122
0.8,
1034,0.95036146
0.8 Total,0.95036146
1,
1034,0.932585598
1 Total,0.932585598
1.2,
1034,0.912559833
1.2 Total,0.912559833
1.4,
1034,0.892608612
1.4 Total,0.892608612
1.6,
1034,0.881516189
1.6 Total,0.881516189
1.8,
1034,0.844987994
1.8 Total,0.844987994
2,
1034,0.858126763
2 Total,0.858126763
0.001 Total,0.915783168
0.003162278,
0.2,
1034,0.951007853
0.2 Total,0.951007853
0.4,
1034,0.967846842
0.4 Total,0.967846842
0.6,
1034,0.965362755
0.6 Total,0.965362755
0.8,
1034,0.93194754
0.8 Total,0.93194754
1,
1034,0.871834272
1 Total,0.871834272
1.2,
1034,0.831077036
1.2 Total,0.831077036
1.4,
1034,0.813367658
1.4 Total,0.813367658
1.6,
1034,0.813839049
1.6 Total,0.813839049
1.8,
1034,0.798267776
1.8 Total,0.798267776
2,
1034,0.799057383
2 Total,0.799057383
0.00316227766016837 Total,0.874360817
0.01,
0.2,
1034,0.921432058
0.2 Total,0.921432058
0.4,
1034,0.925192167
0.4 Total,0.925192167
0.6,
1034,0.901327847
0.6 Total,0.901327847
0.8,
1034,0.825936716
0.8 Total,0.825936716
1,
1034,0.808554483
1 Total,0.808554483
1.2,
1034,0.804376792
1.2 Total,0.804376792
1.4,
1034,0.790419788
1.4 Total,0.790419788
1.6,
1034,0.797127982
1.6 Total,0.797127982
1.8,
1034,0.791102903
1.8 Total,0.791102903
2,
1034,0.791392219
2 Total,0.791392219
0.01 Total,0.835686295
0.031622777,
0.2,
1034,0.868272953
0.2 Total,0.868272953
0.4,
1034,0.825179903
0.4 Total,0.825179903
0.6,
1034,0.804778758
0.6 Total,0.804778758
0.8,
1034,0.796805307
0.8 Total,0.796805307
1,
1034,0.791846874
1 Total,0.791846874
1.2,
1034,0.788247127
1.2 Total,0.788247127
1.4,
1034,0.77048128
1.4 Total,0.77048128
1.6,
1034,0.765045514
1.6 Total,0.765045514
1.8,
1034,0.747676631
1.8 Total,0.747676631
2,
1034,0.742644847
2 Total,0.742644847
0.0316227766016837 Total,0.79009792
0.1,
0.2,
1034,0.59387921
0.2 Total,0.59387921
0.4,
1034,0.801390919
0.4 Total,0.801390919
0.6,
1034,0.768739789
0.6 Total,0.768739789
0.8,
1034,0.758348882
0.8 Total,0.758348882
1,
1034,0.751347689
1 Total,0.751347689
1.2,
1034,0.751796934
1.2 Total,0.751796934
1.4,
1034,0.754251989
1.4 Total,0.754251989
1.6,
1034,0.761636003
1.6 Total,0.761636003
1.8,
1034,0.776440011
1.8 Total,0.776440011
2,
1034,0.7865556
2 Total,0.7865556
0.1 Total,0.750438703
Grand Total,0.903125135
