Row Labels,Average of mean_test_score
0.000000001,
0.05,
687,0.78956044
0.05 Total,0.78956044
0.15,
687,0.787912088
0.15 Total,0.787912088
0.25,
687,0.78021978
0.25 Total,0.78021978
0.35,
687,0.752197802
0.35 Total,0.752197802
0.45,
687,0.754395604
0.45 Total,0.754395604
0.55,
687,0.739010989
0.55 Total,0.739010989
0.65,
687,0.720879121
0.65 Total,0.720879121
0.75,
687,0.706043956
0.75 Total,0.706043956
0.85,
687,0.691758242
0.85 Total,0.691758242
0.95,
687,0.684065934
0.95 Total,0.684065934
0.000000001 Total,0.740604396
3.16228E-09,
0.05,
687,0.782417582
0.05 Total,0.782417582
0.15,
687,0.784615385
0.15 Total,0.784615385
0.25,
687,0.771428571
0.25 Total,0.771428571
0.35,
687,0.763736264
0.35 Total,0.763736264
0.45,
687,0.729120879
0.45 Total,0.729120879
0.55,
687,0.725824176
0.55 Total,0.725824176
0.65,
687,0.73956044
0.65 Total,0.73956044
0.75,
687,0.725274725
0.75 Total,0.725274725
0.85,
687,0.706043956
0.85 Total,0.706043956
0.95,
687,0.693956044
0.95 Total,0.693956044
3.16227766016837E-09 Total,0.742197802
0.00000001,
0.05,
687,0.788461538
0.05 Total,0.788461538
0.15,
687,0.795054945
0.15 Total,0.795054945
0.25,
687,0.778571429
0.25 Total,0.778571429
0.35,
687,0.765384615
0.35 Total,0.765384615
0.45,
687,0.759340659
0.45 Total,0.759340659
0.55,
687,0.744505495
0.55 Total,0.744505495
0.65,
687,0.706593407
0.65 Total,0.706593407
0.75,
687,0.688461538
0.75 Total,0.688461538
0.85,
687,0.715384615
0.85 Total,0.715384615
0.95,
687,0.677472527
0.95 Total,0.677472527
0.00000001 Total,0.741923077
3.16228E-08,
0.05,
687,0.787362637
0.05 Total,0.787362637
0.15,
687,0.785714286
0.15 Total,0.785714286
0.25,
687,0.777472527
0.25 Total,0.777472527
0.35,
687,0.77032967
0.35 Total,0.77032967
0.45,
687,0.758241758
0.45 Total,0.758241758
0.55,
687,0.731318681
0.55 Total,0.731318681
0.65,
687,0.723076923
0.65 Total,0.723076923
0.75,
687,0.732417582
0.75 Total,0.732417582
0.85,
687,0.675274725
0.85 Total,0.675274725
0.95,
687,0.663736264
0.95 Total,0.663736264
3.16227766016837E-08 Total,0.740494505
0.0000001,
0.05,
687,0.757692308
0.05 Total,0.757692308
0.15,
687,0.798901099
0.15 Total,0.798901099
0.25,
687,0.774175824
0.25 Total,0.774175824
0.35,
687,0.765934066
0.35 Total,0.765934066
0.45,
687,0.748901099
0.45 Total,0.748901099
0.55,
687,0.71978022
0.55 Total,0.71978022
0.65,
687,0.706593407
0.65 Total,0.706593407
0.75,
687,0.717032967
0.75 Total,0.717032967
0.85,
687,0.695054945
0.85 Total,0.695054945
0.95,
687,0.685164835
0.95 Total,0.685164835
0.0000001 Total,0.736923077
3.16228E-07,
0.05,
687,0.713186813
0.05 Total,0.713186813
0.15,
687,0.788461538
0.15 Total,0.788461538
0.25,
687,0.781318681
0.25 Total,0.781318681
0.35,
687,0.753846154
0.35 Total,0.753846154
0.45,
687,0.738461538
0.45 Total,0.738461538
0.55,
687,0.736263736
0.55 Total,0.736263736
0.65,
687,0.725274725
0.65 Total,0.725274725
0.75,
687,0.724725275
0.75 Total,0.724725275
0.85,
687,0.704395604
0.85 Total,0.704395604
0.95,
687,0.682417582
0.95 Total,0.682417582
3.16227766016837E-07 Total,0.734835165
0.000001,
0.05,
687,0.697252747
0.05 Total,0.697252747
0.15,
687,0.787362637
0.15 Total,0.787362637
0.25,
687,0.775824176
0.25 Total,0.775824176
0.35,
687,0.757692308
0.35 Total,0.757692308
0.45,
687,0.723076923
0.45 Total,0.723076923
0.55,
687,0.736263736
0.55 Total,0.736263736
0.65,
687,0.725274725
0.65 Total,0.725274725
0.75,
687,0.689010989
0.75 Total,0.689010989
0.85,
687,0.691758242
0.85 Total,0.691758242
0.95,
687,0.660989011
0.95 Total,0.660989011
0.000001 Total,0.724450549
3.16228E-06,
0.05,
687,0.7
0.05 Total,0.7
0.15,
687,0.787912088
0.15 Total,0.787912088
0.25,
687,0.773076923
0.25 Total,0.773076923
0.35,
687,0.763736264
0.35 Total,0.763736264
0.45,
687,0.739010989
0.45 Total,0.739010989
0.55,
687,0.724725275
0.55 Total,0.724725275
0.65,
687,0.735164835
0.65 Total,0.735164835
0.75,
687,0.71978022
0.75 Total,0.71978022
0.85,
687,0.695054945
0.85 Total,0.695054945
0.95,
687,0.66043956
0.95 Total,0.66043956
3.16227766016837E-06 Total,0.72989011
0.00001,
0.05,
687,0.615934066
0.05 Total,0.615934066
0.15,
687,0.801098901
0.15 Total,0.801098901
0.25,
687,0.772527473
0.25 Total,0.772527473
0.35,
687,0.758241758
0.35 Total,0.758241758
0.45,
687,0.748901099
0.45 Total,0.748901099
0.55,
687,0.725824176
0.55 Total,0.725824176
0.65,
687,0.702197802
0.65 Total,0.702197802
0.75,
687,0.67967033
0.75 Total,0.67967033
0.85,
687,0.703846154
0.85 Total,0.703846154
0.95,
687,0.657692308
0.95 Total,0.657692308
0.00001 Total,0.716593407
3.16228E-05,
0.05,
687,0.705494505
0.05 Total,0.705494505
0.15,
687,0.802747253
0.15 Total,0.802747253
0.25,
687,0.78021978
0.25 Total,0.78021978
0.35,
687,0.768131868
0.35 Total,0.768131868
0.45,
687,0.766483516
0.45 Total,0.766483516
0.55,
687,0.741758242
0.55 Total,0.741758242
0.65,
687,0.721428571
0.65 Total,0.721428571
0.75,
687,0.729120879
0.75 Total,0.729120879
0.85,
687,0.702747253
0.85 Total,0.702747253
0.95,
687,0.668131868
0.95 Total,0.668131868
0.0000316227766016837 Total,0.738626374
0.0001,
0.05,
687,0.713736264
0.05 Total,0.713736264
0.15,
687,0.802747253
0.15 Total,0.802747253
0.25,
687,0.797802198
0.25 Total,0.797802198
0.35,
687,0.778021978
0.35 Total,0.778021978
0.45,
687,0.755494505
0.45 Total,0.755494505
0.55,
687,0.746153846
0.55 Total,0.746153846
0.65,
687,0.731318681
0.65 Total,0.731318681
0.75,
687,0.717582418
0.75 Total,0.717582418
0.85,
687,0.692857143
0.85 Total,0.692857143
0.95,
687,0.691208791
0.95 Total,0.691208791
0.0001 Total,0.742692308
0.000316228,
0.05,
687,0.737362637
0.05 Total,0.737362637
0.15,
687,0.807142857
0.15 Total,0.807142857
0.25,
687,0.799450549
0.25 Total,0.799450549
0.35,
687,0.775824176
0.35 Total,0.775824176
0.45,
687,0.76043956
0.45 Total,0.76043956
0.55,
687,0.738461538
0.55 Total,0.738461538
0.65,
687,0.717582418
0.65 Total,0.717582418
0.75,
687,0.708791209
0.75 Total,0.708791209
0.85,
687,0.685164835
0.85 Total,0.685164835
0.95,
687,0.685164835
0.95 Total,0.685164835
0.000316227766016837 Total,0.741538462
0.001,
0.05,
687,0.613736264
0.05 Total,0.613736264
0.15,
687,0.796153846
0.15 Total,0.796153846
0.25,
687,0.780769231
0.25 Total,0.780769231
0.35,
687,0.768681319
0.35 Total,0.768681319
0.45,
687,0.757142857
0.45 Total,0.757142857
0.55,
687,0.740659341
0.55 Total,0.740659341
0.65,
687,0.724175824
0.65 Total,0.724175824
0.75,
687,0.704945055
0.75 Total,0.704945055
0.85,
687,0.692857143
0.85 Total,0.692857143
0.95,
687,0.671978022
0.95 Total,0.671978022
0.001 Total,0.72510989
0.003162278,
0.05,
687,0.538461538
0.05 Total,0.538461538
0.15,
687,0.753296703
0.15 Total,0.753296703
0.25,
687,0.762087912
0.25 Total,0.762087912
0.35,
687,0.751648352
0.35 Total,0.751648352
0.45,
687,0.739010989
0.45 Total,0.739010989
0.55,
687,0.728571429
0.55 Total,0.728571429
0.65,
687,0.721428571
0.65 Total,0.721428571
0.75,
687,0.708791209
0.75 Total,0.708791209
0.85,
687,0.701648352
0.85 Total,0.701648352
0.95,
687,0.692857143
0.95 Total,0.692857143
0.00316227766016837 Total,0.70978022
0.01,
0.05,
687,0.5
0.05 Total,0.5
0.15,
687,0.704395604
0.15 Total,0.704395604
0.25,
687,0.736813187
0.25 Total,0.736813187
0.35,
687,0.733516484
0.35 Total,0.733516484
0.45,
687,0.723076923
0.45 Total,0.723076923
0.55,
687,0.70989011
0.55 Total,0.70989011
0.65,
687,0.699450549
0.65 Total,0.699450549
0.75,
687,0.692307692
0.75 Total,0.692307692
0.85,
687,0.682967033
0.85 Total,0.682967033
0.95,
687,0.670879121
0.95 Total,0.670879121
0.01 Total,0.68532967
0.031622777,
0.05,
687,0.5
0.05 Total,0.5
0.15,
687,0.632967033
0.15 Total,0.632967033
0.25,
687,0.690659341
0.25 Total,0.690659341
0.35,
687,0.692307692
0.35 Total,0.692307692
0.45,
687,0.679120879
0.45 Total,0.679120879
0.55,
687,0.673076923
0.55 Total,0.673076923
0.65,
687,0.66978022
0.65 Total,0.66978022
0.75,
687,0.650549451
0.75 Total,0.650549451
0.85,
687,0.645604396
0.85 Total,0.645604396
0.95,
687,0.635714286
0.95 Total,0.635714286
0.0316227766016837 Total,0.646978022
0.1,
0.05,
687,0.5
0.05 Total,0.5
0.15,
687,0.514285714
0.15 Total,0.514285714
0.25,
687,0.632967033
0.25 Total,0.632967033
0.35,
687,0.644505495
0.35 Total,0.644505495
0.45,
687,0.64010989
0.45 Total,0.64010989
0.55,
687,0.633516484
0.55 Total,0.633516484
0.65,
687,0.625824176
0.65 Total,0.625824176
0.75,
687,0.624725275
0.75 Total,0.624725275
0.85,
687,0.61978022
0.85 Total,0.61978022
0.95,
687,0.622527473
0.95 Total,0.622527473
0.1 Total,0.605824176
Grand Total,0.717870071
